t,S,B,M
13.056000,0.416539,0.740241,0.000229
13.104000,0.416525,0.740256,0.000229
13.152000,0.416510,0.740270,0.000229
13.200000,0.416496,0.740284,0.000229
13.248000,0.416483,0.740298,0.000229
13.296000,0.416469,0.740312,0.000229
13.344000,0.416456,0.740325,0.000229
13.392000,0.416444,0.740338,0.000229
13.440000,0.416432,0.740350,0.000229
13.488000,0.416420,0.740362,0.000229
13.536000,0.416408,0.740374,0.000229
13.584000,0.416396,0.740386,0.000229
13.632000,0.416385,0.740397,0.000229
13.680000,0.416374,0.740408,0.000229
13.728000,0.416364,0.740419,0.000229
13.776000,0.416353,0.740429,0.000229
13.824000,0.416343,0.740439,0.000229
13.872000,0.416333,0.740449,0.000229
13.920000,0.416323,0.740459,0.000230
13.968000,0.416314,0.740468,0.000230
14.016000,0.416304,0.740477,0.000230
14.064000,0.416295,0.740486,0.000230
14.112000,0.416287,0.740495,0.000230
14.160000,0.416278,0.740503,0.000230
14.208000,0.416270,0.740512,0.000230
14.256000,0.416262,0.740520,0.000230
14.304000,0.416254,0.740528,0.000230
14.352000,0.416246,0.740536,0.000230
14.400000,0.416239,0.740544,0.000230
14.448000,0.416232,0.740551,0.000230
14.496000,0.416225,0.740558,0.000230
14.544000,0.416218,0.740565,0.000230
14.592000,0.416211,0.740572,0.000230
14.640000,0.416204,0.740579,0.000230
14.688000,0.416198,0.740585,0.000230
14.736000,0.416191,0.740592,0.000230
14.784000,0.416185,0.740598,0.000230
14.832000,0.416179,0.740604,0.000230
14.880000,0.416173,0.740609,0.000230
14.928000,0.416167,0.740615,0.000230
14.976000,0.416162,0.740621,0.000230
15.024000,0.416156,0.740626,0.000230
15.072000,0.416151,0.740631,0.000230
15.120000,0.416146,0.740636,0.000230
15.168000,0.416141,0.740642,0.000230
15.216000,0.416136,0.740647,0.000230
15.264000,0.416131,0.740652,0.000230
15.312000,0.416127,0.740656,0.000230
15.360000,0.416122,0.740661,0.000230
15.408000,0.416118,0.740666,0.000230
15.456000,0.416114,0.740670,0.000230
15.504000,0.416109,0.740674,0.000230
15.552000,0.416105,0.740678,0.000230
15.600000,0.416101,0.740682,0.000230
15.648000,0.416097,0.740686,0.000230
15.696000,0.416093,0.740690,0.000230
15.744000,0.416089,0.740694,0.000230
15.792000,0.416086,0.740697,0.000230
15.840000,0.416082,0.740701,0.000230
15.888000,0.416079,0.740704,0.000230
15.936000,0.416075,0.740708,0.000230
15.984000,0.416072,0.740711,0.000230
16.032000,0.416069,0.740714,0.000230
16.080000,0.416065,0.740717,0.000230
16.128000,0.416062,0.740720,0.000230
16.176000,0.416060,0.740723,0.000230
16.224000,0.416057,0.740726,0.000230
16.272000,0.416054,0.740729,0.000230
16.320000,0.416051,0.740732,0.000230
16.368000,0.416049,0.740735,0.000230
16.416000,0.416046,0.740738,0.000230
16.464000,0.416044,0.740740,0.000230
16.512000,0.416041,0.740743,0.000230
16.560000,0.416038,0.740745,0.000230
16.608000,0.416036,0.740748,0.000230
16.656000,0.416034,0.740750,0.000230
16.704000,0.416031,0.740752,0.000230
16.752000,0.416029,0.740754,0.000230
16.800000,0.416027,0.740756,0.000230
16.848000,0.416025,0.740758,0.000230
16.896000,0.416022,0.740760,0.000230
16.944000,0.416020,0.740762,0.000230
16.992000,0.416019,0.740764,0.000230
17.040000,0.416017,0.740766,0.000230
17.088000,0.416015,0.740768,0.000230
17.136000,0.416013,0.740770,0.000230
17.184000,0.416011,0.740772,0.000230
17.232000,0.416010,0.740774,0.000230
17.280000,0.416008,0.740776,0.000230
17.328000,0.416007,0.740777,0.000230
17.376000,0.416005,0.740779,0.000230
17.424000,0.416004,0.740781,0.000230
17.472000,0.416002,0.740782,0.000230
17.520000,0.416001,0.740783,0.000230
17.568000,0.415999,0.740785,0.000230
17.616000,0.415997,0.740786,0.000230
17.664000,0.415996,0.740787,0.000230
17.712000,0.415995,0.740789,0.000230
17.760000,0.415993,0.740790,0.000230
17.808000,0.415992,0.740791,0.000230
17.856000,0.415990,0.740792,0.000230
17.904000,0.415989,0.740794,0.000230
17.952000,0.415988,0.740795,0.000230
18.000000,0.415987,0.740796,0.000230
18.048000,0.415986,0.740797,0.000230
18.096000,0.415985,0.740798,0.000230
18.144000,0.415984,0.740800,0.000230
18.192000,0.415983,0.740801,0.000230
18.240000,0.415982,0.740802,0.000230
18.288000,0.415981,0.740803,0.000230
18.336000,0.415980,0.740804,0.000230
18.384000,0.415979,0.740805,0.000230
18.432000,0.415979,0.740806,0.000230
18.480000,0.415978,0.740807,0.000230
18.528000,0.415977,0.740808,0.000230
18.576000,0.415976,0.740808,0.000230
18.624000,0.415975,0.740809,0.000230
18.672000,0.415974,0.740810,0.000230
18.720000,0.415973,0.740810,0.000230
18.768000,0.415972,0.740811,0.000230
18.816000,0.415971,0.740812,0.000230
18.864000,0.415970,0.740812,0.000230
18.912000,0.415970,0.740813,0.000230
18.960000,0.415969,0.740814,0.000230
19.008000,0.415968,0.740815,0.000230
19.056000,0.415968,0.740815,0.000230
19.104000,0.415967,0.740816,0.000230
19.152000,0.415967,0.740817,0.000230
19.200000,0.415966,0.740818,0.000230
19.248000,0.415966,0.740818,0.000230
19.296000,0.415965,0.740819,0.000230
19.344000,0.415965,0.740820,0.000230
19.392000,0.415964,0.740820,0.000230
19.440000,0.415964,0.740821,0.000230
19.488000,0.415963,0.740821,0.000230
19.536000,0.415962,0.740822,0.000230
19.584000,0.415962,0.740822,0.000230
19.632000,0.415961,0.740823,0.000230
19.680000,0.415961,0.740823,0.000230
19.728000,0.415960,0.740823,0.000230
19.776000,0.415959,0.740824,0.000230
19.824000,0.415959,0.740824,0.000230
19.872000,0.415959,0.740825,0.000230
19.920000,0.415958,0.740825,0.000230
19.968000,0.415958,0.740825,0.000230
20.016000,0.415957,0.740826,0.000230
20.064000,0.415957,0.740826,0.000230
20.112000,0.415957,0.740827,0.000230
20.160000,0.415957,0.740827,0.000230
20.208000,0.415956,0.740828,0.000230
20.256000,0.415956,0.740828,0.000230
20.304000,0.415956,0.740829,0.000230
20.352000,0.415955,0.740829,0.000230
20.400000,0.415955,0.740829,0.000230
20.448000,0.415955,0.740830,0.000230
20.496000,0.415954,0.740830,0.000230
20.544000,0.415954,0.740830,0.000230
20.592000,0.415953,0.740830,0.000230
20.640000,0.415953,0.740830,0.000230
20.688000,0.415953,0.740831,0.000230
20.736000,0.415952,0.740831,0.000230
20.784000,0.415952,0.740831,0.000230
20.832000,0.415952,0.740831,0.000230
20.880000,0.415952,0.740832,0.000230
20.928000,0.415951,0.740832,0.000230
20.976000,0.415951,0.740832,0.000230
21.024000,0.415951,0.740833,0.000230
21.072000,0.415951,0.740833,0.000230
21.120000,0.415951,0.740833,0.000230
21.168000,0.415951,0.740834,0.000230
21.216000,0.415950,0.740834,0.000230
21.264000,0.415950,0.740834,0.000230
21.312000,0.415950,0.740834,0.000230
21.360000,0.415950,0.740834,0.000230
21.408000,0.415949,0.740835,0.000230
21.456000,0.415949,0.740835,0.000230
21.504000,0.415949,0.740835,0.000230
21.552000,0.415949,0.740835,0.000230
21.600000,0.415948,0.740835,0.000230
21.648000,0.415948,0.740835,0.000230
21.696000,0.415948,0.740835,0.000230
21.744000,0.415948,0.740835,0.000230
21.792000,0.415948,0.740836,0.000230
21.840000,0.415948,0.740836,0.000230
21.888000,0.415947,0.740836,0.000230
21.936000,0.415947,0.740836,0.000230
21.984000,0.415947,0.740836,0.000230
22.032000,0.415947,0.740837,0.000230
22.080000,0.415947,0.740837,0.000230
22.128000,0.415947,0.740837,0.000230
22.176000,0.415947,0.740837,0.000230
22.224000,0.415947,0.740837,0.000230
22.272000,0.415947,0.740838,0.000230
22.320000,0.415947,0.740838,0.000230
22.368000,0.415946,0.740838,0.000230
22.416000,0.415946,0.740838,0.000230
22.464000,0.415946,0.740838,0.000230
22.512000,0.415946,0.740838,0.000230
22.560000,0.415946,0.740838,0.000230
22.608000,0.415945,0.740838,0.000230
22.656000,0.415945,0.740838,0.000230
22.704000,0.415945,0.740838,0.000230
22.752000,0.415945,0.740838,0.000230
22.800000,0.415945,0.740838,0.000230
22.848000,0.415945,0.740838,0.000230
22.896000,0.415945,0.740838,0.000230
22.944000,0.415945,0.740839,0.000230
22.992000,0.415945,0.740839,0.000230
23.040000,0.415945,0.740839,0.000230
23.088000,0.415945,0.740839,0.000230
23.136000,0.415945,0.740839,0.000230
23.184000,0.415945,0.740840,0.000230
23.232000,0.415945,0.740840,0.000230
23.280000,0.415945,0.740840,0.000230
23.328000,0.415945,0.740840,0.000230
23.376000,0.415945,0.740840,0.000230
23.424000,0.415944,0.740840,0.000230
23.472000,0.415944,0.740840,0.000230
23.520000,0.415944,0.740840,0.000230
23.568000,0.415944,0.740840,0.000230
23.616000,0.415944,0.740840,0.000230
23.664000,0.415944,0.740840,0.000230
23.712000,0.415944,0.740840,0.000230
23.760000,0.415944,0.740840,0.000230
23.808000,0.415944,0.740840,0.000230
23.856000,0.415944,0.740840,0.000230
23.904000,0.415944,0.740840,0.000230
23.952000,0.415944,0.740840,0.000230
24.000000,0.415946,0.740845,0.000230
24.048000,0.378721,0.674814,0.000220
24.096000,0.345045,0.615104,0.000212
24.144000,0.314628,0.561198,0.000206
24.192000,0.287196,0.512609,0.000202
24.240000,0.262504,0.468896,0.000200
24.288000,0.240327,0.429656,0.000200
24.336000,0.220464,0.394526,0.000202
24.384000,0.202730,0.363170,0.000206
24.432000,0.186954,0.335280,0.000212
24.480000,0.172979,0.310567,0.000219
24.528000,0.160656,0.288761,0.000228
24.576000,0.149844,0.269606,0.000238
24.624000,0.140409,0.252857,0.000250
24.672000,0.132221,0.238280,0.000262
24.720000,0.125156,0.225653,0.000276
24.768000,0.119094,0.214763,0.000290
24.816000,0.113921,0.205410,0.000305
24.864000,0.109530,0.197407,0.000320
24.912000,0.105821,0.190581,0.000335
24.960000,0.102701,0.184775,0.000350
25.008000,0.100088,0.179846,0.000365
25.056000,0.097907,0.175669,0.000380
25.104000,0.096093,0.172133,0.000394
25.152000,0.094588,0.169140,0.000407
25.200000,0.093342,0.166607,0.000420
25.248000,0.092312,0.164462,0.000433
25.296000,0.091463,0.162645,0.000444
25.344000,0.090765,0.161102,0.000455
25.392000,0.090190,0.159790,0.000465
25.440000,0.089719,0.158673,0.000474
25.488000,0.089332,0.157719,0.000482
25.536000,0.089016,0.156903,0.000490
25.584000,0.088757,0.156202,0.000498
25.632000,0.088547,0.155598,0.000504
25.680000,0.088376,0.155076,0.000510
25.728000,0.088237,0.154624,0.000516
25.776000,0.088126,0.154231,0.000521
25.824000,0.088037,0.153888,0.000525
25.872000,0.087966,0.153587,0.000529
25.920000,0.087910,0.153321,0.000533
25.968000,0.087867,0.153087,0.000536
26.016000,0.087835,0.152879,0.000539
26.064000,0.087812,0.152693,0.000542
26.112000,0.087796,0.152526,0.000544
26.160000,0.087786,0.152376,0.000546
26.208000,0.087782,0.152240,0.000548
26.256000,0.087782,0.152117,0.000550
26.304000,0.087786,0.152003,0.000551
26.352000,0.087793,0.151899,0.000553
26.400000,0.087804,0.151803,0.000554
26.448000,0.087816,0.151713,0.000555
26.496000,0.087831,0.151629,0.000556
26.544000,0.087849,0.151550,0.000556
26.592000,0.087867,0.151476,0.000557
26.640000,0.087888,0.151405,0.000557
26.688000,0.087910,0.151337,0.000558
26.736000,0.087934,0.151271,0.000558
26.784000,0.087958,0.151208,0.000558
26.832000,0.087985,0.151147,0.000559
26.880000,0.088012,0.151087,0.000559
26.928000,0.088040,0.151028,0.000559
26.976000,0.088070,0.150971,0.000559
27.024000,0.088100,0.150913,0.000559
27.072000,0.088132,0.150857,0.000558
27.120000,0.088165,0.150801,0.000558
27.168000,0.088199,0.150744,0.000558
27.216000,0.088234,0.150688,0.000558
27.264000,0.088270,0.150632,0.000558
27.312000,0.088307,0.150575,0.000557
27.360000,0.088345,0.150518,0.000557
27.408000,0.088384,0.150460,0.000556
27.456000,0.088425,0.150402,0.000556
27.504000,0.088466,0.150343,0.000556
27.552000,0.088509,0.150283,0.000555
27.600000,0.088552,0.150222,0.000555
27.648000,0.088597,0.150160,0.000554
27.696000,0.088644,0.150097,0.000554
27.744000,0.088691,0.150033,0.000553
27.792000,0.088740,0.149968,0.000552
27.840000,0.088790,0.149901,0.000552
27.888000,0.088841,0.149833,0.000551
27.936000,0.088893,0.149764,0.000550
27.984000,0.088947,0.149693,0.000550
28.032000,0.089003,0.149620,0.000549
28.080000,0.089060,0.149546,0.000548
28.128000,0.089118,0.149470,0.000548
28.176000,0.089178,0.149393,0.000547
28.224000,0.089239,0.149314,0.000546
28.272000,0.089302,0.149233,0.000545
28.320000,0.089366,0.149150,0.000544
28.368000,0.089432,0.149065,0.000543
28.416000,0.089500,0.148978,0.000543
28.464000,0.089570,0.148889,0.000542
28.512000,0.089641,0.148798,0.000541
28.560000,0.089715,0.148705,0.000540
28.608000,0.089790,0.148609,0.000539
28.656000,0.089867,0.148511,0.000538
28.704000,0.089946,0.148411,0.000537
28.752000,0.090027,0.148308,0.000536
28.800000,0.090110,0.148203,0.000535
28.848000,0.090195,0.148096,0.000534
28.896000,0.090283,0.147986,0.000532
28.944000,0.090372,0.147873,0.000531
28.992000,0.090464,0.147757,0.000530
29.040000,0.090558,0.147639,0.000529
29.088000,0.090655,0.147518,0.000528
29.136000,0.090754,0.147394,0.000526
29.184000,0.090856,0.147267,0.000525
29.232000,0.090960,0.147136,0.000524
