t,S,B,M
32.640000,0.000001,0.310454,0.950710
32.688000,0.000001,0.310453,0.950710
32.736000,0.000001,0.310453,0.950710
32.784000,0.000001,0.310452,0.950710
32.832000,0.000001,0.310452,0.950710
32.880000,0.000001,0.310452,0.950709
32.928000,0.000001,0.310451,0.950709
32.976000,0.000001,0.310451,0.950709
33.024000,0.000001,0.310451,0.950709
33.072000,0.000001,0.310451,0.950709
33.120000,0.000001,0.310450,0.950709
33.168000,0.000001,0.310450,0.950709
33.216000,0.000001,0.310450,0.950709
33.264000,0.000001,0.310450,0.950709
33.312000,0.000001,0.310450,0.950709
33.360000,0.000001,0.310450,0.950709
33.408000,0.000001,0.310450,0.950709
33.456000,0.000001,0.310450,0.950709
33.504000,0.000001,0.310449,0.950709
33.552000,0.000001,0.310449,0.950709
33.600000,0.000001,0.310449,0.950709
33.648000,0.000001,0.310449,0.950709
33.696000,0.000001,0.310449,0.950709
33.744000,0.000001,0.310449,0.950709
33.792000,0.000001,0.310449,0.950709
33.840000,0.000001,0.310449,0.950709
33.888000,0.000001,0.310449,0.950709
33.936000,0.000001,0.310449,0.950709
33.984000,0.000001,0.310449,0.950709
34.032000,0.000001,0.310449,0.950709
34.080000,0.000001,0.310449,0.950709
34.128000,0.000001,0.310449,0.950709
34.176000,0.000001,0.310449,0.950709
34.224000,0.000001,0.310449,0.950709
34.272000,0.000001,0.310449,0.950709
34.320000,0.000001,0.310449,0.950709
34.368000,0.000001,0.310449,0.950709
34.416000,0.000001,0.310449,0.950709
34.464000,0.000001,0.310449,0.950709
34.512000,0.000001,0.310449,0.950709
34.560000,0.000001,0.310449,0.950709
34.608000,0.000001,0.310449,0.950709
34.656000,0.000001,0.310449,0.950709
34.704000,0.000001,0.310449,0.950709
34.752000,0.000001,0.310449,0.950709
34.800000,0.000001,0.310449,0.950709
34.848000,0.000001,0.310449,0.950709
34.896000,0.000001,0.310449,0.950709
34.944000,0.000001,0.310449,0.950709
34.992000,0.000001,0.310449,0.950709
35.040000,0.000001,0.310449,0.950709
35.088000,0.000001,0.310449,0.950709
35.136000,0.000001,0.310449,0.950709
35.184000,0.000001,0.310449,0.950709
35.232000,0.000001,0.310449,0.950709
35.280000,0.000001,0.310449,0.950709
35.328000,0.000001,0.310449,0.950709
35.376000,0.000001,0.310449,0.950709
35.424000,0.000001,0.310449,0.950709
35.472000,0.000001,0.310449,0.950709
35.520000,0.000001,0.310449,0.950709
35.568000,0.000001,0.310449,0.950709
35.616000,0.000001,0.310449,0.950709
35.664000,0.000001,0.310449,0.950709
35.712000,0.000001,0.310449,0.950709
35.760000,0.000001,0.310449,0.950709
35.808000,0.000001,0.310449,0.950709
35.856000,0.000001,0.310449,0.950709
35.904000,0.000001,0.310449,0.950709
35.952000,0.000001,0.310449,0.950709
36.000000,0.000001,0.310449,0.950709
36.048000,0.000001,0.310449,0.950709
36.096000,0.000001,0.310449,0.950709
36.144000,0.000001,0.310449,0.950709
36.192000,0.000001,0.310449,0.950709
36.240000,0.000001,0.310449,0.950709
36.288000,0.000001,0.310449,0.950709
36.336000,0.000001,0.310449,0.950709
36.384000,0.000001,0.310449,0.950709
36.432000,0.000001,0.310449,0.950709
36.480000,0.000001,0.310449,0.950709
